wallet,total_tx,unique_destinations,rapid_tx_count,avg_tx_interval,percent_to_new_wallets,tx_chain_length_estimate
4yWDmvn7TUVQuZvZRYcEcQuFijEWZ73FpnrtRnFb66aC,2,1,0,3600.0,50.0,1
6VL8hRjKRbEvqResPkiWuLMcoW6RRiNfv1b5H9fMqcb1,2,1,0,3600.0,50.0,1
BKVM59wJYMXnZfTkacKjnqNwChLFmbTcdFBsEc6UKUxx,2,1,0,3600.0,50.0,1
Bjeida13AjgPaUEU9xrh1iQMwxZC7QDdvSfg73oxQff7,2,1,0,3600.0,50.0,1
CgkyANHy9N3ZPCNU2UZ1tQ6ntPkd14rd2JkzCTP9RaHF,0,0,0,0.0,0.0,0
CJGGn82f1VxnjrxDPN6jSQvSdz1pTSG6AihAk9x17XiQ,0,0,0,0.0,0.0,0
9hXa2JEguhjX2ixNHrjnyhcoFduarSRazf8kEeKpLAEE,20,0,0,90610.74,0.0,1
Ee8UFH9h7EdhGpW3Ad6TMjcRaffuWU1ALfSKRsH6MLiM,1,1,0,0.0,100.0,1
4hhGNkSs8e5ux3Dx8tNR9jxkMsNQA6uDSCSw1pH4Giqo,6,4,3,5048.4,66.67,1
